Grid,CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8
A4,-70 dBm,-86 dBm,-69 dBm,-86 dBm,-70 dBm,-79 dBm,-67 dBm,-91 dBm
A4,-69 dBm,-78 dBm,-66 dBm,-85 dBm,-66 dBm,-77 dBm,-75 dBm,-90 dBm
A4,-71 dBm,-81 dBm,-67 dBm,-85 dBm,-68 dBm,-75 dBm,-74 dBm,-91 dBm
A4,-73 dBm,-89 dBm,-69 dBm,-85 dBm,-66 dBm,-74 dBm,-72 dBm,-89 dBm
A4,-71 dBm,-81 dBm,-61 dBm,-95 dBm,-67 dBm,-76 dBm,-64 dBm,-87 dBm
A4,-69 dBm,-90 dBm,-63 dBm,-91 dBm,-63 dBm,-80 dBm,-66 dBm,-91 dBm
A4,-79 dBm,-86 dBm,-60 dBm,-82 dBm,-70 dBm,-84 dBm,-68 dBm,-86 dBm
A4,-81 dBm,-81 dBm,-71 dBm,-87 dBm,-76 dBm,-72 dBm,-75 dBm,-90 dBm
A4,-72 dBm,-84 dBm,-73 dBm,-83 dBm,-70 dBm,-88 dBm,-76 dBm,-93 dBm
A4,-72 dBm,-86 dBm,-73 dBm,-88 dBm,-69 dBm,-81 dBm,-74 dBm,-91 dBm
A4,-71 dBm,-86 dBm,-73 dBm,-87 dBm,-69 dBm,-81 dBm,-70 dBm,-92 dBm
A4,-71 dBm,-84 dBm,-73 dBm,-85 dBm,-70 dBm,-82 dBm,-73 dBm,-93 dBm
A4,-69 dBm,-82 dBm,-71 dBm,-86 dBm,-66 dBm,-83 dBm,-70 dBm,-92 dBm
A4,-70 dBm,-82 dBm,-75 dBm,-87 dBm,-70 dBm,-78 dBm,-72 dBm,-90 dBm
A4,-74 dBm,-86 dBm,-72 dBm,-86 dBm,-65 dBm,-81 dBm,-72 dBm,-97 dBm
A4,-71 dBm,-84 dBm,-72 dBm,-86 dBm,-66 dBm,-81 dBm,-71 dBm,-92 dBm
A4,-74 dBm,-87 dBm,-72 dBm,-85 dBm,-75 dBm,-84 dBm,-71 dBm,-93 dBm
A4,-73 dBm,-86 dBm,-73 dBm,-86 dBm,-80 dBm,-83 dBm,-68 dBm,-93 dBm
A4,-73 dBm,-80 dBm,-72 dBm,-86 dBm,-78 dBm,-81 dBm,-68 dBm,-95 dBm
A4,-73 dBm,-83 dBm,-76 dBm,-86 dBm,-78 dBm,-81 dBm,-69 dBm,-95 dBm
A4,-75 dBm,-88 dBm,-74 dBm,-85 dBm,-79 dBm,-82 dBm,-68 dBm,-95 dBm
